Unnamed: 0,32bitRPI_python,32bitRPI_cpp,64bitRPI_python,64bitRPI_cpp
ssd_mobilenet_v3_small_model,0.1780592828833289,0.0,0.1780592828833289,0.0
ssd_mobilenet_v3_large_model,0.2400546284456068,0.0,0.2400546284456068,0.0
ssd_mobilenet_v2_method2,0.14013979395466775,0.14013979395466775,0.14244151532792254,0.14244151532792254
ssd_mobilenet_v1_1_default_model,0.14795374884340806,0.14795374884340806,0.14694170813196752,0.14694170813196752
